"id","outcome_anxiety","treatment_cellphone","race","gender","income"
859,0,1,"White","Female","High"
860,0,1,"White","Male","High"
861,0,1,"White","Female","Low"
862,0,0,"White","Female","Medium"
863,0,0,"Other","Male","Medium"
864,0,0,"Other","Female","High"
865,0,1,"White","Male","High"
866,0,0,"Other","Female","Low"
867,0,1,"White","Male","Low"
868,0,0,"Black","Female","Medium"
869,0,0,"White","Female","Low"
870,0,1,"White","Male","Low"
871,1,1,"White","Male","High"
872,0,0,"White","Female","Low"
873,1,1,"Other","Male","High"
874,0,1,"White","Male","Medium"
875,0,1,"White","Female","Medium"
876,0,1,"White","Male","Medium"
877,0,0,"White","Female","Low"
878,0,1,"Black","Female","High"
879,0,0,"White","Female","Medium"
880,0,0,"White","Female","Low"
881,0,1,"White","Female","High"
882,0,0,"Black","Female","Low"
883,0,0,"White","Male","High"
884,1,1,"White","Male","High"
885,0,1,"White","Male","Medium"
886,0,0,"Black","Female","High"
887,0,1,"Other","Male","Low"
888,1,1,"Other","Female","Low"
889,0,1,"Other","Female","Low"
890,0,1,"White","Male","Low"
891,1,1,"White","Female","High"
892,1,1,"White","Female","High"
893,0,0,"White","Male","Low"
894,0,1,"White","Female","Medium"
895,0,0,"White","Female","Low"
896,0,0,"Black","Female","High"
897,1,1,"Black","Male","Low"
898,0,1,"Other","Female","Medium"
899,0,0,"White","Female","Medium"
900,0,0,"Other","Male","High"
901,0,1,"Other","Female","Medium"
902,0,1,"White","Male","High"
903,0,0,"White","Female","Medium"
904,1,0,"Other","Female","High"
905,0,1,"Black","Female","Medium"
906,0,0,"White","Female","Low"
907,0,0,"White","Male","Low"
908,1,1,"Black","Female","Medium"
909,0,1,"White","Female","Medium"
910,0,1,"White","Male","High"
911,0,1,"Black","Male","High"
912,0,0,"White","Female","High"
913,0,0,"Other","Female","Low"
914,1,1,"White","Male","High"
915,0,0,"White","Female","Low"
916,0,1,"Other","Male","Low"
917,1,1,"Black","Female","High"
918,0,0,"White","Male","High"
919,0,1,"White","Female","Low"
920,1,1,"White","Female","Low"
921,0,1,"White","Male","High"
922,0,1,"White","Male","High"
923,1,1,"White","Female","High"
924,0,0,"White","Female","Medium"
925,0,0,"White","Male","Medium"
926,0,0,"Other","Male","Low"
927,0,0,"Other","Male","Medium"
928,0,1,"White","Male","Medium"
929,0,1,"Other","Male","High"
930,0,1,"White","Male","Low"
931,0,0,"White","Male","Low"
932,0,1,"White","Male","Medium"
933,0,0,"White","Male","High"
934,0,0,"White","Male","Medium"
935,0,0,"White","Male","High"
936,0,1,"White","Male","Low"
937,0,1,"White","Male","Low"
938,0,1,"Black","Female","High"
939,0,1,"White","Female","Medium"
940,0,1,"White","Male","Low"
941,1,1,"White","Male","Medium"
942,0,1,"White","Male","Medium"
943,0,0,"White","Male","Medium"
944,0,0,"Black","Female","High"
945,0,0,"White","Male","Medium"
946,0,1,"White","Female","Medium"
947,0,0,"Other","Female","High"
948,0,0,"White","Male","Medium"
949,0,1,"Other","Male","Low"
950,0,1,"Other","Female","Low"
951,1,1,"Black","Female","Low"
952,0,0,"White","Female","Medium"
953,1,1,"White","Male","Low"
954,0,1,"White","Male","Medium"
955,1,1,"Black","Male","Medium"
956,1,1,"White","Female","Medium"
957,1,0,"White","Female","Medium"
958,0,0,"White","Male","Low"
959,0,1,"White","Male","Low"
960,0,0,"White","Male","Medium"
961,0,1,"White","Male","Medium"
962,0,0,"White","Male","Medium"
963,1,1,"White","Male","Medium"
964,1,0,"White","Male","Low"
965,0,1,"White","Female","Medium"
966,0,1,"White","Male","Medium"
967,1,1,"Black","Female","Medium"
968,0,0,"White","Male","Low"
969,0,0,"Black","Male","High"
970,1,1,"White","Male","High"
971,1,1,"White","Female","Low"
972,0,0,"White","Male","Low"
973,1,1,"White","Male","Low"
974,1,0,"White","Male","High"
975,0,0,"White","Female","Medium"
976,0,1,"White","Male","High"
977,0,0,"White","Male","Medium"
978,0,0,"White","Male","High"
979,0,1,"Black","Female","High"
980,0,0,"Black","Male","Low"
981,0,1,"White","Female","Medium"
982,1,1,"White","Female","High"
983,1,1,"White","Female","High"
984,0,0,"Other","Female","High"
985,1,1,"White","Male","Low"
986,0,1,"White","Female","Medium"
987,0,1,"White","Male","Low"
988,0,0,"White","Female","Medium"
989,0,0,"White","Male","Low"
990,0,1,"Black","Female","Low"
991,0,1,"White","Male","Low"
992,0,1,"White","Female","High"
993,0,1,"White","Male","Low"
994,0,1,"White","Female","High"
995,0,1,"White","Female","Medium"
996,0,0,"Black","Male","Low"
997,0,0,"White","Male","Low"
998,1,1,"White","Female","High"
999,0,0,"White","Female","Medium"
1000,0,0,"White","Female","Low"
